AM1057,2024-03-31,2024-03-31,0000007
AF1668,2024-03-31,2024-03-31,0000007
CM105,2024-03-31,2024-03-31,0000007
DL337,2024-03-31,2024-03-31,0000007
KL1931,2024-03-31,2024-03-31,0000007
AF052,2024-03-31,2024-03-31,0000007
KL668,2024-03-30,2024-03-30,0000060
KL988,2024-03-31,2024-03-31,0000007
AF608,2024-03-31,2024-03-31,0000007
AF609,2024-03-31,2024-03-31,0000007
DL2241,2024-03-31,2024-03-31,0000007
DL2241,2024-03-31,2024-03-31,0000007
AF092,2024-03-31,2024-03-31,0000007
AF1640,2024-03-31,2024-03-31,0000007
AF1649,2024-03-31,2024-03-31,0000007
AF1777,2024-03-31,2024-03-31,0000007
AF1385,2024-03-31,2024-03-31,0000007
AH1231,2024-03-31,2024-03-31,0000007
KL1009,2024-03-31,2024-03-31,0000007
KL1075,2024-03-31,2024-03-31,0000007
AF7336,2024-03-31,2024-03-31,0000007
LY323,2024-03-31,2024-03-31,0000007
AF415,2024-03-31,2024-03-31,0000007
AF416,2024-03-31,2024-03-31,0000007
AF7337,2024-03-31,2024-03-31,0000007
AF7368,2024-03-31,2024-03-31,0000007
AF7300,2024-03-31,2024-03-31,0000007
AF7301,2024-03-31,2024-03-31,0000007
AF7369,2024-03-31,2024-03-31,0000007
KL1506,2024-03-31,2024-03-31,0000007
KL1601,2024-03-31,2024-03-31,0000007
KL1936,2024-03-31,2024-03-31,0000007
DL458,2024-03-31,2024-03-31,0000007
DL061,2024-03-30,2024-03-30,0000060
KL1304,2024-03-31,2024-03-31,0000007
DL2100,2024-03-31,2024-03-31,0000007
AF689,2024-03-30,2024-03-30,0000060
KQ708,2024-03-31,2024-03-31,0000007
DL2100,2024-03-31,2024-03-31,0000007
DL133,2024-03-31,2024-03-31,0000007
KL910,2024-03-31,2024-03-31,0000007
AF1342,2024-03-31,2024-03-31,0000007
AF1722,2024-03-31,2024-03-31,0000007
AF1887,2024-03-31,2024-03-31,0000007
KL1338,2024-03-31,2024-03-31,0000007
AF1590,2024-03-31,2024-03-31,0000007
DL2899,2024-03-31,2024-03-31,0000007
DL2899,2024-03-31,2024-03-31,0000007
AF763,2024-03-30,2024-03-30,0000060
AF6743,2024-03-31,2024-03-31,0000007
AF651,2024-03-30,2024-03-30,0000060
MP7762,2024-03-31,2024-03-31,0000007
DL484,2024-03-31,2024-03-31,0000007
MK218,2024-03-31,2024-03-31,0000007
MK219,2024-03-31,2024-03-31,0000007
AF077,2024-03-31,2024-03-31,0000007
AF367,2024-03-30,2024-03-30,0000060
KL898,2024-03-31,2024-03-31,0000007
CM145,2024-03-31,2024-03-31,0000007
KL840,2024-03-31,2024-03-31,0000007
KL644,2024-03-30,2024-03-30,0000060
KL810,2024-03-31,2024-03-31,0000007
CM461,2024-03-31,2024-03-31,0000007
CM407,2024-03-31,2024-03-31,0000007
AF431,2024-03-30,2024-03-30,0000060
DL429,2024-03-31,2024-03-31,0000007
AF7992,2024-03-31,2024-03-31,0000007
AF1204,2024-03-31,2024-03-31,0000007
KL746,2024-03-30,2024-03-30,0000060
AF1442,2024-03-31,2024-03-31,0000007
AF1727,2024-03-31,2024-03-31,0000007
AF1443,2024-03-31,2024-03-31,0000007
MP6162,2024-03-30,2024-03-30,0000060
CM392,2024-03-31,2024-03-31,0000007
KL1303,2024-03-31,2024-03-31,0000007
AF1340,2024-03-31,2024-03-31,0000007
AF1341,2024-03-31,2024-03-31,0000007
KL658,2024-03-30,2024-03-30,0000060
DL335,2024-03-31,2024-03-31,0000007
AF9401,2024-03-31,2024-03-31,0000007
AF175,2024-03-30,2024-03-30,0000060
AF638,2024-03-31,2024-03-31,0000007
AF639,2024-03-31,2024-03-31,0000007
DL2484,2024-03-31,2024-03-31,0000007
DL2484,2024-03-31,2024-03-31,0000007
AF1354,2024-03-31,2024-03-31,0000007
AF1042,2024-03-31,2024-03-31,0000007
AF1043,2024-03-31,2024-03-31,0000007
AF1430,2024-03-31,2024-03-31,0000007
AF1431,2024-03-31,2024-03-31,0000007
AF1052,2024-03-31,2024-03-31,0000007
AF1426,2024-03-31,2024-03-31,0000007
AF1262,2024-03-31,2024-03-31,0000007
DL2564,2024-03-31,2024-03-31,0000007
DL2564,2024-03-31,2024-03-31,0000007
KL1357,2024-03-31,2024-03-31,0000007
DL1532,2024-03-31,2024-03-31,0000007
KL987,2024-03-31,2024-03-31,0000007
AM2051,2024-03-31,2024-03-31,0000007
AM945,2024-03-31,2024-03-31,0000007
AM011,2024-03-30,2024-03-30,0000060
AM905,2024-03-31,2024-03-31,0000007
AF1553,2024-03-31,2024-03-31,0000007
AF1263,2024-03-31,2024-03-31,0000007
AF1494,2024-03-31,2024-03-31,0000007
AF1495,2024-03-31,2024-03-31,0000007
AF7437,2024-03-31,2024-03-31,0000007
AF7311,2024-03-31,2024-03-31,0000007
AF7312,2024-03-31,2024-03-31,0000007
AF1147,2024-03-31,2024-03-31,0000007
AF1264,2024-03-31,2024-03-31,0000007
AF1348,2024-03-31,2024-03-31,0000007
AF1349,2024-03-31,2024-03-31,0000007
AF7304,2024-03-31,2024-03-31,0000007
AF7305,2024-03-31,2024-03-31,0000007
DL1718,2024-03-31,2024-03-31,0000007
AT764,2024-03-31,2024-03-31,0000007
AF1100,2024-03-31,2024-03-31,0000007
DL1718,2024-03-31,2024-03-31,0000007
KQ726,2024-03-31,2024-03-31,0000007
KQ706,2024-03-31,2024-03-31,0000007
G9519,2024-03-31,2024-03-31,0000007
G9515,2024-03-31,2024-03-31,0000007
SQ228,2024-03-31,2024-03-31,0000007
SQ232,2024-03-31,2024-03-31,0000007
AF481,2024-03-30,2024-03-30,0000060
AF932,2024-03-31,2024-03-31,0000007
AF768,2024-03-31,2024-03-31,0000007
AF931,2024-03-31,2024-03-31,0000007
AF769,2024-03-31,2024-03-31,0000007
KL1664,2024-03-31,2024-03-31,0000007
KL713,2024-03-31,2024-03-31,0000007
KL1266,2024-03-31,2024-03-31,0000007
KL1231,2024-03-31,2024-03-31,0000007
AF1213,2024-03-31,2024-03-31,0000007
KL1952,2024-03-31,2024-03-31,0000007
KL1418,2024-03-31,2024-03-31,0000007
KL1779,2024-03-31,2024-03-31,0000007
KL1359,2024-03-31,2024-03-31,0000007
KL714,2024-03-31,2024-03-31,0000007
AF099,2024-03-30,2024-03-30,0000060
AF095,2024-03-30,2024-03-30,0000060
KL1360,2024-03-31,2024-03-31,0000007
KL1925,2024-03-31,2024-03-31,0000007
KL1926,2024-03-31,2024-03-31,0000007
AF551,2024-03-31,2024-03-31,0000007
AF655,2024-04-01,2024-04-01,1000000
AF662,2024-03-31,2024-03-31,0000007
AF049,2024-03-31,2024-03-31,0000007
AF341,2024-03-30,2024-03-30,0000060
AT770,2024-03-31,2024-03-31,0000007
KL702,2024-03-31,2024-03-31,0000007
KL1155,2024-03-31,2024-03-31,0000007
KL1134,2024-03-31,2024-03-31,0000007
DL2502,2024-03-31,2024-03-31,0000007
DL2502,2024-03-31,2024-03-31,0000007
KL1232,2024-03-31,2024-03-31,0000007
DL680,2024-03-31,2024-03-31,0000007
CM384,2024-03-31,2024-03-31,0000007
AF813,2024-03-31,2024-03-31,0000007
AF814,2024-03-31,2024-03-31,0000007
DL712,2024-03-31,2024-03-31,0000007
DL668,2024-03-31,2024-03-31,0000007
DL668,2024-03-31,2024-03-31,0000007
DL669,2024-03-31,2024-03-31,0000007
DL669,2024-03-31,2024-03-31,0000007
AF625,2024-03-31,2024-03-31,0000007
DL088,2024-03-31,2024-03-31,0000007
DL2560,2024-03-31,2024-03-31,0000007
KL872,2024-04-01,2024-04-01,1000000
AM657,2024-03-31,2024-03-31,0000007
